Comment,Designator,Footprint,LCSC Part #
1n,C1,C0603,
1u,C4 C8,C0603,
3k3,R6,R0603,
6k8,R10,R0603,
10k,R11 R21,R0603,
10n,C2,C0603,
10u,C5,C0805,
33k,R5 R9,R0603,
47k,R1 R2 R3 R4 R13 R14 R15 R16 R17,R0603,
47u,C9 C10 C11 C12,C0805,
68k,R18 R19,R0603,
100k,R7,R0603,
100n,C3,C0603,
220n,C6 C7,C0603,
LM324D,IC1,SO14,
MICRO-USB-RECEPTACLE47589-0001,X1,47589-0001,
N-MOSFET,Q1,SOT23-3,
TPB1 27,TP1,B1 27,
TPB1 27,TP2,B1 27,
TPB1 27,TP3,B1 27,
TPB1 27,TP4,B1 27,
TPB1 27,TP5,B1 27,
TPB1 27,TP6,B1 27,
TPB1 27,TP7,B1 27,
TPB1 27,TP8,B1 27,
TPB1 27,TP9,B1 27,
TPS2105D,U1,D8,
