Designator,Mid X,Mid Y,Layer,Rotation
C1,26.50, 3.50,Top,90.0
C2,29.00, 3.50,Top,90.0
C3,24.00, 3.50,Top,90.0
C4,31.50, 3.50,Top,90.0
C5,34.00, 3.50,Top,90.0
C6,78.90,22.45,Top,0.0
C7,68.65,28.95,Top,270.0
C8,72.86,22.87,Top,0.0
C9,72.96,14.00,Top,0.0
C10,72.96,17.02,Top,0.0
C11,73.00,11.00,Top,0.0
C12,73.00,20.02,Top,0.0
IC1,28.00,10.00,Top,0.0
Q1,36.00,12.50,Top,180.0
R1,47.50,12.50,Top,90.0
R2,44.50,12.50,Top,270.0
R3, 6.00,26.00,Top,270.0
R4,34.50,22.00,Top,90.0
R5,34.50,18.00,Top,270.0
R6, 6.00,22.00,Top,90.0
R7,13.00, 7.50,Top,270.0
R9, 6.00,17.50,Top,90.0
R10, 6.00,13.50,Top,90.0
R11,13.00,11.50,Top,270.0
R13,20.50,20.00,Top,270.0
R14,21.00,12.00,Top,90.0
R15,21.00, 8.00,Top,270.0
R16,36.50, 7.50,Top,90.0
R17,40.00, 9.00,Top,90.0
R18,48.50,23.50,Top,90.0
R19,48.50,19.50,Top,90.0
R21,65.45,28.92,Top,90.0
TP1,18.50,12.50,Top,0.0
TP2,18.50, 8.00,Top,0.0
TP3,54.30, 8.30,Top,0.0
TP4,34.50,26.00,Top,0.0
TP5,39.50,13.50,Top,0.0
TP6,54.10,13.80,Top,0.0
TP7,54.00,21.00,Top,0.0
TP8,79.00, 3.50,Top,0.0
TP9,80.00,11.00,Top,0.0
U1,74.30,27.93,Top,180.0
X1,72.00,37.00,Top,180.0
